number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
78,3.6809605840680613,2025-10-24 01:59:55.087459,2025-10-24 02:00:16.223962,0 days 00:00:21.136503,0.9642557870956696,3.341391369642432,0.029948644783008106,10,5,343,5.366155575633896e-06,0.016118618832042582,0.6805484613890442,COMPLETE
79,3.6782056606870683,2025-10-24 02:00:16.225666,2025-10-24 02:00:38.357909,0 days 00:00:22.132243,0.9714811962296417,3.492014969330324,0.03499110722016616,10,5,365,1.527293762388881e-05,0.18064788004934826,0.7023124000821526,COMPLETE
80,3.6751315844640673,2025-10-24 02:00:38.359465,2025-10-24 02:01:01.246053,0 days 00:00:22.886588,0.9693979824168277,3.5438749442267445,0.022255994217240418,10,5,362,9.866716965405316e-05,0.003960415285369098,0.6912015051164417,COMPLETE
81,3.67980973632328,2025-10-24 02:01:01.247664,2025-10-24 02:01:24.516890,0 days 00:00:23.269226,0.9661053999732968,3.589184255682699,0.022370169778006512,10,5,364,9.292197309086826e-05,0.004586334760889137,0.703049205074898,COMPLETE
82,3.6786354096039746,2025-10-24 02:01:24.518769,2025-10-24 02:01:47.392189,0 days 00:00:22.873420,0.9738398498129446,3.517704133409976,0.03316489423459685,10,5,380,1.3166870625718382e-05,0.1711657828460469,0.6373420640350155,COMPLETE
83,3.684180122286506,2025-10-24 02:01:47.393808,2025-10-24 02:02:14.300703,0 days 00:00:26.906895,0.9538661578500152,3.3448452803905133,0.01749482494718574,10,4,363,6.013221347343996e-06,0.020882419906558584,0.7280956874386371,COMPLETE
84,3.674113564341309,2025-10-24 02:02:14.302530,2025-10-24 02:02:37.649816,0 days 00:00:23.347286,0.9972779948969315,2.768881542612272,0.027015402674781957,9,5,355,4.505546763433004e-05,0.0038471789787830417,0.6748910635567208,COMPLETE
85,3.6758148305979477,2025-10-24 02:02:37.654908,2025-10-24 02:03:36.202358,0 days 00:00:58.547450,0.9956116074153469,2.786810018654837,0.026752209446157388,9,4,337,6.079523535205611e-05,0.0037033628469084075,0.6803822608866985,COMPLETE
86,3.672384122840632,2025-10-24 02:03:36.207727,2025-10-24 02:04:32.950697,0 days 00:00:56.742970,0.9984987154488237,2.7704345946839766,0.02792392302798037,9,4,339,5.456505199486221e-05,0.0016407033695998697,0.6697452675985726,COMPLETE
87,3.672196008357646,2025-10-24 02:04:32.955373,2025-10-24 02:05:39.815424,0 days 00:01:06.860051,0.9973307751296188,2.786845282992001,0.02635378482079213,9,4,401,9.389254158514533e-05,0.003869286368997989,0.6635792775207329,COMPLETE
88,3.675305813908827,2025-10-24 02:05:39.819912,2025-10-24 02:07:03.744068,0 days 00:01:23.924156,0.9525029540333741,2.8580565081545695,0.026778204309207854,10,4,405,0.00011086454708505216,0.0014065431891900732,0.6652276177650576,COMPLETE
